,Unnamed: 0.1,Unnamed: 0,business,Count
124,124,124,محلات بيع الأدوية والكيماويات بالجملة,0
125,125,125,محلات النجارة والخردوات,0
126,126,126,محلات الخزف الصيني والأواني المنزلية,0
127,127,127,محلات المعدات الزراعية,0
128,128,128,محلات الأواني المنزلية البلاستيكية,0
129,129,129,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,0
130,130,130,محلات الآلات غير الكهربائية والمعدات ذات الصلة,0
131,131,131,محلات بيع التحف والأشياء المستعملة,0
132,132,132,المتاجر المصنفة,0
133,133,133,محلات المعدات الزراعية ومعدات الحدائق,0
134,134,134,مخازن المنوعات,0
135,135,135,محلات المجوهرات الأخرى,0
136,136,136,محلات الشرائط والاسطوانات الصوتية,0
137,137,137,محلات البضائع العامة الأخرى,0
138,138,138,محلات العبايات,0
139,139,139,محلات الأثاث المنزلي,0
140,140,140,محلات الستائر وأغطية الأثاث,0
141,141,141,محلات الأجهزة المنزلية,0
142,142,142,محلات المعدات والآلات الموسيقية,0
143,143,143,محلات الأثاث والتجهيزات المكتبية,0
144,144,144,الطواحين,0
145,145,145,المطابخ,0
146,146,146,محلات المواد الغذائية الأخرى,0
147,147,147,محلات المعدات الطبية ومعدات طب الأسنان,0
148,148,148,محلات بيع السيارات,0
149,149,149,محلات بيع الأثاث المستعمل,0
150,150,150,محلات الذهب والمجوهرات,0
151,151,151,خدمات السيارات الأخرى,0
152,152,152,محلات الفضيات,0
153,153,153,محلات بيع غاز الطبخ,0
154,154,154,محلات نباتات الزينة والزهور,0
155,155,155,محلات ملابس الأطفال الجاهزة,0
156,156,156,محلات بيع شرائط الفيديو,0
157,157,157,محلات الخياطة النسائية - عمالة ذكور,0
158,158,158,محلات بيع السيارات ومعداتها بالجملة,0
159,159,159,الاستراحات المعدة للإيجار اليومي,414
160,160,160,المراكز الترفيهية,13
161,161,161,الأنشطة الترفيهية الأخرى,9
162,162,162,صالات الألعاب,5
163,163,163,مرافق التجمعات العامة الأخرى,4
164,164,164,الاستراحات المعدة للاحتفالات,4
165,165,165,صالات السباحة,3
166,166,166,مرافق التجمعات الرياضية الأخرى,2
167,167,167,الأنشطة الثقافية والترفيهية والترويحية الأخرى,2
168,168,168,حدائق المدن والبلديات الفرعية ذات مساحة 0.5 - 2 هكتار,1
169,169,169,الأندية الرياضية النسائية,1
170,170,170,حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار,1
171,171,171,الحدائق ومناطق الترفيه الخارجية الأخرى,1
172,172,172,ملاعب الأطفال,0
173,173,173,السينما,0
174,174,174,الأندية الرياضية الرجالية,0
175,175,175,الصالات الرياضية,0
176,176,176,ملاعب الغولف,0
177,177,177,صالات الأفراح,0
178,178,178,صالات المعارض,0
179,179,179,قاعات الاجتماعات,0
180,180,180,مضامير السباق,0
181,181,181,ملاعب الكرة الطائرة,0
182,182,182,ملاعب التنس,0
183,183,183,صالات التزلج,0
184,184,184,أندية ركوب الخيل,0
185,185,185,الحدائق الإقليمية ذات مساحة أعلى من 2 هكتار,0
186,186,186,صالات البولنج,0
187,187,187,ملاعب كرة السلة,0
188,188,188,المرافق الرياضية الأخرى,0
189,189,189,ميادين كرة القدم الدائمة,0
190,190,190,الإستادات,0
191,191,191,المساجد المحلية,35
192,192,192,مساجد الجمع,15
193,193,193,مناطق الحجاج,0
194,194,194,مصليات العيد,0
195,195,195,المدارس الابتدائية الخاصة للبنات,3
196,196,196,المدارس المتوسطة الخاصة للبنات,2
197,197,197,مدارس تحفيظ القرآن الثانوية للبنات,1
198,198,198,المدارس المتوسطة الحكومية للبنين,1
199,199,199,المدارس الابتدائية الخاصة للبنين,1
200,200,200,المدارس الابتدائية الحكومية للبنين,1
201,201,201,المدارس الثانوية الحكومية للبنين,1
202,202,202,المدارس الثانوية الحكومية للبنات,1
203,203,203,رياض الأطفال والتمهيدي,1
204,204,204,مدارس السفارات والجاليات,0
205,205,205,الكليات والجامعات الأخرى,0
206,206,206,المدارس الحكومية الشاملة للبنين,0
207,207,207,المدارس الخاصة الشاملة للبنات,0
208,208,208,الكليات والجامعات للبنين,0
209,209,209,مرافق المعاقين والتعليم الخاص,0
210,210,210,المدارس الابتدائية الأخرى,0
211,211,211,مدارس تحفيظ القرآن الابتدائية للبنين,0
212,212,212,مدارس تحفيظ القرآن الابتدائية للبنات,0
213,213,213,المدارس الابتدائية الحكومية للبنات,0
